Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(4.0, 4.3): -2.638880346546159
(4.0, 4.4): -2.548338088162475
(4.0, 4.5): -2.458447352267478
(4.0, 4.6): -2.369614492261229
(4.0, 4.7): -2.2822091508775952
(4.0, 4.8): -2.1965640074083623
(4.0, 4.9): -2.1129748726756694
(4.0, 5.0): -2.0317011867664387
(4.0, 5.1): -1.952966901127035
(4.0, 5.2): -1.876961688889442
(4.0, 5.3): -1.8038424118240828
(4.0, 5.4): -1.7337347705709176
(4.0, 5.5): -1.6667350710215305
(4.0, 5.6): -1.602912050353403
(4.0, 5.7): -1.542308718815957
(4.0, 5.8): -1.484944186448476
(4.0, 5.9): -1.4308154563263888
(4.0, 6.0): -1.3798991769749673
(4.1, 3.0): -3.5601865268029815
(4.1, 3.1): -3.5107295263194898
(4.1, 3.2): -3.448423105048778
(4.1, 3.3): -3.3773831441002433
(4.1, 3.4): -3.300254823221264
(4.1, 3.5): -3.2187686173848173
(4.1, 3.6): -3.134095624150901
(4.1, 3.7): -3.0470711311136376
(4.1, 3.8): -2.958332531329692
